Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
14.03.2022, 10:51:26, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F1017, 10:51:28, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:51:26, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F1017, 10:51:28, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:51:26, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F1017, 10:51:29, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:47:50, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0F3F, 10:47:52, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:47:50, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0F3F, 10:47:52, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:47:50, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0F3F, 10:47:52, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:44:14, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0E67, 10:44:16, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:44:14, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0E67, 10:44:16, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:44:14, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0E67, 10:44:17, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:40:38, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0D8F, 10:40:40, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:40:38, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0D8F, 10:40:40, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:40:38, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0D8F, 10:40:41, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:37:02, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0CB7, 10:37:04, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:37:02, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0CB7, 10:37:04, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:37:02, MC-HOVSETER, 2960, Anrop 434, 434, Done, 22 Hovseterhjemmet 4A, No message for alarm 2960, 434, 434, 622F0CB7, 10:37:04, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:26:21, MC-HOVSETER, 2932, Tilstede 438, 438, Canceled, Empty group, No message for alarm 2932, 438, 438, 622F0A33, 01:00:00, , , , No Answer
14.03.2022, 10:26:20, MC-HOVSETER, 2947, Borte 438, 438, Canceled, Empty group, No message for alarm 2947, 438, 438, 622F0A35, 01:00:00, , , , No Answer
14.03.2022, 10:25:42, MC-HOVSETER, 2962, Anrop 438, 438, Done, 22 Hovseterhjemmet 4A, No message for alarm 2962, 438, 438, 622F0A08, 10:25:44, Shuttle 4. etg, 10.10.10.44, IND, Executed
14.03.2022, 10:25:42, MC-HOVSETER, 2962, Anrop 438, 438, Done, 22 Hovseterhjemmet 4A, No message for alarm 2962, 438, 438, 622F0A08, 10:25:44, Hovseterhjemmet-24 Oslofjorden-4, 46865912, 3G+, Executed
14.03.2022, 10:25:42, MC-HOVSETER, 2962, Anrop 438, 438, Done, 22 Hovseterhjemmet 4A, No message for alarm 2962, 438, 438, 622F0A08, 10:25:44, Hovseterhjemmet-23 Oslofjorden-4, 46859609, 3G+, Executed
14.03.2022, 10:22:00, MC-HOVSETER, 2962, Anrop 438, 438, Done, 22 Hovseterhjemmet 4A, No message for alarm 2962, 438, 438, 622F0930, 10:22:02, Shuttle 4. etg, 10.10.10.44, IND, Executed
