Date, Time, Server Name, Alarm Key, Alarm Name, Launched by, Alarm Status, Alarm Group, General Text Message, Display Message 1, Display Message 2, Alarm Reference, Executed Time, Name, Phone Number, Phone Type, Call Status
31.03.2022, 07:55:12, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245423E
31.03.2022, 07:55:09, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245423B
31.03.2022, 07:55:02, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454233
31.03.2022, 07:54:58, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454230
31.03.2022, 07:54:55, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245422C
31.03.2022, 07:54:51, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454228
31.03.2022, 07:54:46, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454224
31.03.2022, 07:54:43, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Escalated & Done, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454221
31.03.2022, 07:51:03, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454145
31.03.2022, 07:50:59, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454141
31.03.2022, 07:50:54, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245413B
31.03.2022, 07:50:49, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454137
31.03.2022, 07:50:46, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454133
31.03.2022, 07:50:43, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454130
31.03.2022, 07:50:37, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 6245412A
31.03.2022, 07:50:33, MC-HOVSETER, 5060, Detektor 1O4 ID: 23, 1O4  23  DCT, Canceled, 10 Hovseterhjemmet 1A, Terminal alarm event:, Terminal alarm e, Terminal alarm e, 62454126
